Entering mode: Disabled
Entering mode: Autonomous
0.394024: Starting autonomous program
0.394024: Starting step 'set motor voltage, duration = 5 seconds, left voltage = -0.25, right voltage = 0.25'
5.397261: Ending step 'set motor voltage, duration = 5 seconds, left voltage = -0.25, right voltage = 0.25'
5.397261: Starting step 'AutoPrintPosition'
Sample 228: Time 2.862491, Positions 0.094227, -0.035286 @ -123.244059
Sample 229: Time 2.878068, Positions 0.094227, -0.035286 @ -115.804937
Sample 230: Time 2.893711, Positions 0.094227, -0.035286 @ -108.365814
Sample 231: Time 2.909340, Positions 0.094227, -0.035286 @ -100.879713
Sample 232: Time 2.924969, Positions 0.094227, -0.035286 @ -93.300008
Sample 233: Time 2.940593, Positions 0.094227, -0.035286 @ -85.673460
Sample 234: Time 2.956246, Positions 0.094227, -0.035286 @ -78.000066
Sample 235: Time 2.971866, Positions 0.094227, -0.035286 @ -70.279777
Sample 236: Time 2.987511, Positions 0.094227, -0.035286 @ -62.512653
Sample 237: Time 3.003086, Positions 0.094227, -0.035286 @ -54.698770
Sample 238: Time 3.018730, Positions 0.094227, -0.035286 @ -46.884887
Sample 239: Time 3.034381, Positions 0.094227, -0.035286 @ -38.977227
Sample 240: Time 3.050017, Positions 0.094227, -0.035286 @ -31.022772
Sample 241: Time 3.065610, Positions 0.094227, -0.035286 @ -23.021467
Sample 242: Time 3.081213, Positions 0.094227, -0.035286 @ -14.973324
Sample 243: Time 3.096856, Positions 0.094227, -0.035286 @ -6.925181
Sample 244: Time 3.112464, Positions 0.094227, -0.035286 @ 1.169793
Sample 245: Time 3.128108, Positions 0.094227, -0.035286 @ 9.311635
Sample 246: Time 3.143740, Positions 0.094227, -0.035286 @ 17.500287
Sample 247: Time 3.159370, Positions 0.094227, -0.035286 @ 25.735807
Sample 248: Time 3.174985, Positions 0.094227, -0.035286 @ 34.065038
Sample 249: Time 3.190614, Positions 0.094227, -0.035286 @ 42.441037
Sample 250: Time 3.206220, Positions 0.094227, -0.035286 @ 50.863832
Sample 251: Time 3.221876, Positions 0.094227, -0.035286 @ 59.333543
Sample 252: Time 3.237504, Positions 0.094227, -0.035286 @ 67.850115
Sample 253: Time 3.253103, Positions 0.094227, -0.035286 @ 76.366687
Sample 254: Time 3.268757, Positions 0.094227, -0.035286 @ 84.976937
Sample 255: Time 3.284376, Positions 0.094227, -0.035286 @ 93.587187
Sample 256: Time 3.300033, Positions 0.094227, -0.035286 @ 102.291118
Sample 257: Time 3.315663, Positions 0.094227, -0.035286 @ 111.041899
Sample 258: Time 3.331240, Positions 0.094227, -0.035286 @ 119.839451
Sample 259: Time 3.346869, Positions 0.094227, -0.035286 @ 128.683844
Sample 260: Time 3.362514, Positions -0.281252, 0.365546 @ 137.575149
Sample 261: Time 3.378186, Positions 0.151802, 0.027746 @ 146.513427
Sample 262: Time 3.393780, Positions -0.328581, 0.293961 @ 155.498515
Sample 263: Time 3.409464, Positions 0.187555, 0.106251 @ 164.530522
Sample 264: Time 3.425060, Positions 0.187555, 0.106251 @ 173.609207
Sample 265: Time 3.440648, Positions 0.187555, 0.106251 @ -177.265264
Sample 266: Time 3.456301, Positions 0.187555, 0.106251 @ -168.092828
Sample 267: Time 3.471903, Positions 0.187555, 0.106251 @ -158.920393
Sample 268: Time 3.487581, Positions 0.187555, 0.106251 @ -149.654348
Sample 269: Time 3.503150, Positions 0.187555, 0.106251 @ -140.388304
Sample 270: Time 3.518757, Positions 0.187555, 0.106251 @ -131.075425
Sample 271: Time 3.534384, Positions 0.187555, 0.106251 @ -121.715633
Sample 272: Time 3.550035, Positions 0.187555, 0.106251 @ -112.262235
Sample 273: Time 3.565638, Positions 0.187555, 0.106251 @ -102.762045
Sample 274: Time 3.581311, Positions 0.187555, 0.106251 @ -93.214879
Sample 275: Time 3.596927, Positions 0.187555, 0.106251 @ -83.620903
Sample 276: Time 3.612585, Positions 0.187555, 0.106251 @ -73.980116
Sample 277: Time 3.628188, Positions 0.187555, 0.106251 @ -64.292435
Sample 278: Time 3.643801, Positions 0.187555, 0.106251 @ -54.557958
Sample 279: Time 3.659419, Positions 0.187555, 0.106251 @ -44.776653
Sample 280: Time 3.675054, Positions 0.187555, 0.106251 @ -34.948573
Sample 281: Time 3.690683, Positions 0.187555, 0.106251 @ -25.073559
Sample 282: Time 3.706309, Positions 0.187555, 0.106251 @ -15.151789
Sample 283: Time 3.721934, Positions 0.187555, 0.106251 @ -5.183188
Sample 284: Time 3.737560, Positions 0.187555, 0.106251 @ 4.832332
Sample 285: Time 3.753164, Positions 0.187555, 0.106251 @ 14.894546
Sample 286: Time 3.768842, Positions 0.187555, 0.106251 @ 25.003768
Sample 287: Time 3.784458, Positions 0.187555, 0.106251 @ 35.159711
Sample 288: Time 3.800075, Positions 0.187555, 0.106251 @ 45.362515
Sample 289: Time 3.815704, Positions 0.187555, 0.106251 @ 55.612298
Sample 290: Time 3.831344, Positions 0.187555, 0.106251 @ 65.908867
Sample 291: Time 3.846971, Positions 0.187555, 0.106251 @ 76.205437
Sample 292: Time 3.862595, Positions 0.187555, 0.106251 @ 86.595687
Sample 293: Time 3.878228, Positions 0.187555, 0.106251 @ 97.032868
Sample 294: Time 3.893865, Positions 0.187555, 0.106251 @ 107.516895
Sample 295: Time 3.909478, Positions 0.187555, 0.106251 @ 118.047688
Sample 296: Time 3.925103, Positions 0.187555, 0.106251 @ 128.625307
Sample 297: Time 3.940730, Positions 0.187555, 0.106251 @ 139.249775
Sample 298: Time 3.956362, Positions 0.187555, 0.106251 @ 149.921080
Sample 299: Time 3.971984, Positions 0.187555, 0.106251 @ 160.639235
Sample 300: Time 3.987627, Positions 0.187555, 0.106251 @ 171.404282
Sample 301: Time 4.003244, Positions 0.187555, 0.106251 @ -177.783783
Sample 302: Time 4.018844, Positions 0.187555, 0.106251 @ -166.971848
Sample 303: Time 4.034496, Positions 0.187555, 0.106251 @ -156.066301
Sample 304: Time 4.050089, Positions 0.187555, 0.106251 @ -145.113922
Sample 305: Time 4.065728, Positions 0.187555, 0.106251 @ -134.114697
Sample 306: Time 4.081350, Positions 0.187555, 0.106251 @ -123.068616
Sample 307: Time 4.096977, Positions 0.187555, 0.106251 @ -111.975686
Sample 308: Time 4.112609, Positions 0.187555, 0.106251 @ -100.835909
Sample 309: Time 4.128242, Positions 0.187555, 0.106251 @ -89.649294
